 Unnamed: 0                    CODIGO                                      DISCRIPCION           MARCA      GRUPO  UNIDA    COSTO      P-A     P-B
        NaN                   0000003                            PARAGUAS CHICO.Panama              HF      HOGAR    NaN    0.000   1.4000   1.390
        NaN                    00008.                                    BRILLO GRUESO              HF      HOGAR    NaN    0.000   0.7160   0.685
        NaN                    0109-1                                 ALCANFOR DE 50G.              HF      HOGAR    NaN    0.000   0.1800   0.170
        NaN                    0109-2                                ALCANFOR DE 100G.              HF      HOGAR    NaN    0.000   0.2700   0.260
        NaN                   0109-2C                        ALCANFOR DE COLORES 100G.              HF      HOGAR    NaN    0.000   0.2700   0.260
        NaN                    0125-1                                  PARAGUAS CHICO.              HF      HOGAR    NaN    0.000   1.4000   1.390
        NaN                  0125-1-2                                  PARAGUAS CHICO.              HF      HOGAR    NaN    0.000   1.4000   1.390
        NaN                    0125-2                        PARAGUAS CHICODOBLEFORRO.              HF      HOGAR    NaN    0.000   2.1000   2.090
        NaN                    0125-5                                         PARAGUAS              HF      HOGAR    NaN    0.000   2.0300   1.940
        NaN                   0125-5.                                         PARAGUAS              HF      HOGAR    NaN    0.000   2.0300   1.940
        NaN                   0140-14                                       MATAMOSCA.              HF      HOGAR    NaN    0.080   0.1300   0.120
        NaN                    0140-6                          PALILLOS DE OIDO CHICO.              HF      HOGAR    NaN    0.000   0.1200   0.110
        NaN                     020-1                                   OJITOS FALSOS.              HF    ESCOLAR    NaN    0.000   0.7500   0.740
        NaN                       255                  CAJASEN FORMA DE CORAZON GRANDE            H.F.     FIESTA    NaN    5.500   6.4400   6.140
        NaN                    0255B.                                           CAJAS1            H.F.     FIESTA    NaN    5.500   6.4400   6.140
        NaN                    0255H.                                           CAJAS2            H.F.     FIESTA    NaN    5.500   6.4400   6.140
        NaN                    0255L.                                           CAJAS3            H.F.     FIESTA    NaN    5.500   6.4400   6.140
        NaN                    0255W.                                           CAJAS4            H.F.     FIESTA    NaN    5.500   6.4400   6.140
        NaN                     026-3                      EMBASESPARAKETCHUPYMOSTAZA.            H.F.      HOGAR    NaN    0.280   0.3600   0.350
        NaN                    0295-1                                           MUSGO.              HF    ESCOLAR    NaN    0.000   2.8300   2.690
        NaN                      3136                               TEMPERASDE6COLORES            H.F.    ESCOLAR    NaN    0.500   0.6000   0.530
        NaN                    0413-2                                         CANICAS.            H.F.      HOGAR    NaN    0.180   0.2500   0.240
